,Time,CellName,PRBUsageUL,PRBUsageDL,meanThr_DL,meanThr_UL,maxThr_DL,maxThr_UL,meanUE_DL,meanUE_UL,maxUE_DL,maxUE_UL,maxUE_UL+DL
10766,12:45,7BLTE,0.606,1.314,0.45,0.081,18.383,12.205,1.374,0.01,5,3,8
26882,20:00,7ALTE,0.1047,0.6275,0.0926,0.0191,2.8783,0.1984,1.0923,0.0102,3,3,6
7513,6:45,4BLTE,5.558,0.707,0.124,0.021,9.349,0.642,1.061,1.011,4,2,6
17459,14:15,8ALTE,24.252,5.558,1.785,0.168,37.737,1.357,1.556,1.223,8,6,14
19982,8:00,6VLTE,1.112,1.314,0.055,0.025,2.477,0.423,1.132,0.01,4,3,7
22510,14:30,6WLTE,1.1132,2.543,0.3978,0.0376,9.8883,0.5734,1.1353,0.0106,5,3,8
1475,18:15,1CLTE,23.0149,2.9879,0.8646,0.0955,20.5727,0.7823,1.4255,1.2362,7,6,13
8210,11:30,6WLTE,2.3411,3.7464,0.5009,0.0588,11.3603,1.7544,1.2404,0.0107,6,3,9
26931,9:00,5BLTE,35.974,3.739,1.907,0.114,45.361,0.679,1.394,1.152,7,5,12
27517,13:00,7WLTE,2.027,2.6373,0.5858,0.128,24.463,1.2477,1.1675,0.01,5,3,8
20885,1:30,6ULTE,3.335,4.951,1.089,0.047,15.787,0.416,1.122,0.01,4,3,7
3614,10:30,3CLTE,11.722,1.415,0.447,0.05,6.61,0.572,1.152,1.081,4,4,8
28656,3:15,1ALTE,2.93,0.505,0.017,0.007,1.189,0.514,1.041,1.011,3,2,5
31602,11:00,2ALTE,2.021,0.808,0.771,0.026,73.59,2.61,1.021,0.01,2,2,4
15993,19:45,6ALTE,7.478,1.718,0.817,0.046,41.158,0.846,1.091,0.01,4,3,7
25111,10:45,5ALTE,12.227,1.819,0.651,0.07,66.8,2.294,1.172,1.051,6,3,9
10947,18:30,7WLTE,0.808,1.92,0.258,0.03,7.378,0.531,1.112,0.01,4,3,7
1211,10:30,6ULTE,5.962,10.61,1.725,0.14,21.619,6.128,1.546,0.01,7,5,12
23687,8:30,6VLTE,8.122,1.3314,0.1692,0.6354,3.237,6.2452,1.0849,0.01,4,3,7
4947,10:00,6BLTE,17.886,2.324,1.026,0.049,15.427,1.449,1.122,0.01,4,4,8
9142,6:15,8CLTE,0.909,0.404,0.046,0.022,1.022,0.117,1.031,1.011,2,2,4
6448,6:00,7VLTE,0.1042,0.836,0.054,0.0172,0.7143,0.2653,1.0553,0.01,3,2,5
11412,22:30,3ALTE,6.0797,0.8084,0.2455,0.0289,7.8244,0.3869,1.1902,1.0648,5,3,8
23443,12:15,10ALTE,8.9054,0.955,0.2245,0.0815,24.9983,1.085,1.1126,1.0625,4,3,7
14921,8:45,1ALTE,22.231,4.749,1.262,0.111,55.981,1.047,1.435,1.192,6,5,11
8463,21:00,6ULTE,1.415,4.648,0.841,0.065,16.436,0.674,1.354,0.01,6,3,9
31774,16:15,7WLTE,1.011,3.537,0.587,0.045,17.291,0.759,1.162,0.01,4,3,7
24100,23:30,6BLTE,27.081,6.871,2.943,0.267,73.771,2.676,1.415,0.01,6,5,11
6177,7:00,10ALTE,2.93,0.505,0.073,0.015,2.497,0.253,1.061,1.021,3,2,5
36740,15:00,8ALTE,18.189,3.133,0.982,0.072,21.821,1.02,1.304,1.112,6,4,10
5333,16:30,3BLTE,11.7508,1.78,0.5005,0.0727,29.0762,3.7998,1.2465,1.1707,4,5,9
36579,9:30,7CLTE,0.1029,0.6085,0.3809,0.0434,18.0815,0.9674,1.1146,0.0101,4,2,6
14509,13:00,7ULTE,6.164,6.568,0.794,0.109,19.713,2.538,1.475,0.01,6,5,11
10143,11:00,4BLTE,21.928,2.223,0.541,0.126,17.538,7.59,1.324,1.152,7,6,13
22788,20:45,6ULTE,1.314,3.133,0.781,0.067,56.806,2.042,1.202,0.01,5,3,8
1312,10:45,5CLTE,12.4232,3.4104,0.8841,0.0602,40.1958,0.5644,1.1578,1.1568,5,4,9
33675,9:00,6CLTE,5.558,0.808,0.238,0.039,31.288,4.092,1.081,0.01,3,3,6
35285,12:45,2ALTE,1.112,0.505,0.035,0.015,1.983,0.173,1.031,0.01,2,2,4
23662,10:15,10BLTE,6.871,0.808,0.15,0.243,6.27,1.507,1.081,1.021,3,3,6
2694,19:00,4BLTE,29.911,3.638,1.087,0.149,23.851,1.824,1.627,1.273,8,7,15
11854,11:45,5CLTE,23.039,4.85,1.526,0.121,45.266,1.004,1.445,1.192,6,5,11
7409,16:15,8BLTE,17.077,6.265,2.024,0.116,19.826,1.049,1.405,1.142,6,4,10
36311,20:00,10CLTE,5.553,0.8321,0.1261,0.0187,9.0133,0.279,1.0959,1.1002,4,3,7
18669,0:15,3CLTE,1.415,0.505,0.128,0.013,11.221,0.462,1.021,1.011,3,1,4
24978,10:45,6CLTE,5.7045,0.7271,0.1728,0.0305,8.7514,1.0408,1.1226,0.0107,3,3,6
866,5:00,10CLTE,1.112,0.505,0.099,0.013,2.131,0.096,1.011,1.011,3,1,4
17217,14:30,7VLTE,1.718,3.739,0.45,0.054,15.951,0.792,1.253,0.01,5,3,8
11500,11:30,5CLTE,23.848,2.728,0.928,0.099,86.301,0.845,1.546,1.152,7,5,12
31629,18:45,6WLTE,1.92,8.084,1.705,0.097,30.061,1.103,1.435,0.01,7,3,10
15213,9:15,10BLTE,4.042,0.808,0.131,0.03,6.403,0.35,1.081,1.021,3,3,6
24350,16:45,6WLTE,1.516,2.829,0.312,0.055,13.045,0.835,1.314,0.01,5,4,9
29967,11:45,3ALTE,28.698,5.154,1.047,0.136,11.95,1.47,1.718,1.334,8,6,14
27298,23:45,7WLTE,1.011,2.526,0.688,0.044,15.766,1.47,1.122,0.01,4,3,7
7345,15:45,5BLTE,24.858,6.871,2.68,0.128,41.08,2.218,1.536,1.182,6,5,11
7412,9:45,9BLTE,4.042,1.516,1.347,0.031,35.153,0.286,1.081,1.031,4,2,6
19275,18:00,3ALTE,16.976,3.133,0.679,0.052,16.156,0.697,1.293,1.091,5,4,9
2073,5:15,1CLTE,12.631,1.213,0.306,0.029,28.903,0.617,1.091,1.031,4,3,7
9263,0:15,1ALTE,8.084,0.707,0.101,0.025,4.114,3.732,1.091,1.021,4,3,7
23385,15:45,9ALTE,5.659,0.909,0.242,0.477,6.288,1.385,1.637,1.243,6,3,9
36458,7:00,5ALTE,1.92,0.707,0.25,0.027,6.328,0.394,1.011,1.011,2,2,4
17585,0:00,9ALTE,0.808,0.404,0.012,0.009,0.238,0.093,1.021,1.011,2,1,3
12612,23:30,8CLTE,5.9867,1.0509,0.4405,0.0499,30.4029,1.542,1.1588,1.0809,4,3,7
34441,21:00,3CLTE,9.4215,1.6057,0.4424,0.0403,33.2639,0.5011,1.1948,1.0366,6,3,9
19003,20:30,7BLTE,0.303,1.314,0.377,0.037,16.048,0.754,1.223,0.01,5,3,8
23601,7:15,10ALTE,8.387,1.415,0.407,0.039,23.794,0.483,1.071,1.021,4,3,7
16968,12:15,5ALTE,9.398,1.92,0.495,0.054,21.403,3.735,1.142,1.041,4,3,7
5645,16:00,7VLTE,2.425,3.537,0.388,0.103,11.655,17.568,1.394,0.01,6,4,10
22839,4:15,6ALTE,1.1995,0.4047,0.0327,0.0103,2.0836,0.1214,1.0048,0.0102,2,2,4
15053,13:15,9ALTE,23.444,4.143,1.212,0.124,13.641,0.612,1.688,1.617,7,6,13
32492,11:30,6ALTE,15.966,2.526,0.593,0.069,24.065,2.464,1.243,0.01,5,4,9
2722,1:45,3BLTE,5.7024,0.9551,0.2449,0.0233,5.6296,0.8377,1.0842,1.0149,5,3,8
7569,13:15,7ULTE,3.032,5.861,0.883,0.108,21.841,2.561,1.576,0.01,8,5,13
8394,8:45,10ALTE,24.353,3.234,0.949,0.107,18.338,0.937,1.455,1.253,7,5,12
19311,10:00,8ALTE,12.6636,1.109,0.2602,0.0347,7.6501,0.3603,1.206,1.0692,5,3,8
28970,11:30,6CLTE,7.276,0.808,0.206,0.022,40.361,0.443,1.081,0.01,3,3,6
2988,8:30,9BLTE,2.728,0.606,0.104,0.023,3.605,0.306,1.071,1.132,3,3,6
28989,18:45,5CLTE,8.1995,0.7956,0.1205,0.0203,9.3425,0.4638,1.0672,1.0396,4,3,7
24226,11:30,10CLTE,5.962,1.011,0.226,0.039,7.443,5.632,1.061,1.021,3,2,5
21019,21:30,6ULTE,1.242,5.8414,1.1967,0.0674,18.4118,2.6248,1.1401,0.01,4,4,8
11004,0:00,7WLTE,0.808,3.335,0.941,0.037,37.434,0.679,1.192,0.01,4,3,7
2335,10:00,7BLTE,0.1023,0.3994,0.0147,0.006,0.8068,0.2202,0.8748,0.01,3,2,5
28424,3:15,1CLTE,23.8458,2.9342,1.297,0.103,19.7462,0.7018,1.4648,1.1864,6,5,11
6926,20:30,3BLTE,16.673,2.425,0.482,0.075,9.991,0.541,1.273,1.071,6,4,10
34842,8:45,3BLTE,12.53,1.213,0.128,0.028,5.029,0.706,1.162,1.051,4,3,7
24026,22:15,6BLTE,22.4982,4.5683,1.6655,0.2878,49.8391,45.1639,1.3369,0.0106,7,5,12
36417,0:30,4ALTE,6.972,1.415,0.331,0.047,20.968,0.765,1.071,1.031,3,3,6
2579,15:15,6VLTE,2.5487,9.9742,1.8292,0.0808,25.1854,1.1357,1.4186,0.0104,7,4,11
23399,5:45,6ULTE,0.202,0.808,0.055,0.019,0.677,0.1,1.011,0.01,2,1,3
8129,10:30,8CLTE,4.749,0.808,0.16,0.03,7.042,1.12,1.122,1.031,4,3,7
7777,7:30,6VLTE,0.4095,0.9559,0.0241,0.0103,0.6554,0.1209,1.0221,0.0102,3,2,5
11212,8:15,5BLTE,17.583,3.84,1.119,0.083,33.974,1.642,1.243,1.112,5,4,9
14316,1:00,9BLTE,0.808,0.404,0.024,0.012,1.009,0.084,1.011,1.011,2,2,4
29990,23:15,4BLTE,14.854,1.314,0.346,0.032,76.981,0.999,1.152,1.031,5,3,8
5216,13:00,9BLTE,4.951,0.808,0.2,0.022,7.211,0.218,1.041,1.021,3,3,6
10531,4:45,5BLTE,4.244,0.404,0.004,0.003,0.124,0.066,1.021,1.011,2,2,4
29618,18:00,4CLTE,23.848,9.499,1.701,0.089,21.188,0.563,1.799,1.799,7,7,14
4848,15:30,5CLTE,19.098,2.324,0.85,0.077,41.114,0.898,1.273,1.071,6,4,10
14687,11:45,4ALTE,5.659,2.526,0.848,0.096,45.117,17.067,1.071,1.031,3,3,6
36602,20:45,3BLTE,15.865,1.516,0.67,0.086,36.979,1.774,1.192,1.071,5,4,9
24561,1:00,10BLTE,3.032,0.606,0.164,0.011,12.528,0.249,1.041,1.011,3,2,5
36382,17:00,10BLTE,6.063,1.415,0.316,0.028,24.322,0.229,1.172,1.031,4,3,7
21311,21:00,9BLTE,5.558,0.808,0.217,0.026,4.727,0.327,1.041,1.011,3,3,6
7816,1:30,5BLTE,6.972,0.707,0.124,0.028,7.062,0.39,1.071,1.031,3,3,6
942,10:45,6ALTE,22.635,6.568,4.677,0.252,94.703,10.025,1.465,0.01,7,4,11
23151,0:45,10BLTE,1.112,0.707,0.526,0.018,28.825,0.511,1.021,1.011,2,2,4
27986,21:45,3CLTE,12.025,2.223,0.444,0.119,16.304,0.535,1.364,1.122,6,4,10
9100,20:15,8BLTE,15.562,3.234,0.936,0.074,26.702,0.913,1.263,1.071,5,3,8
8504,2:30,6BLTE,14.4956,2.0247,0.4455,0.0284,25.8079,0.4403,1.1118,0.0103,4,4,8
33060,17:00,9BLTE,4.85,1.415,0.202,0.037,6.376,0.211,1.081,1.021,3,2,5
30889,2:30,6ALTE,3.133,0.707,0.261,0.024,11.289,0.39,1.041,0.01,3,2,5
20720,1:30,3BLTE,8.2227,1.7769,0.4589,0.0489,22.2256,0.6318,1.1931,1.0458,6,3,9
30005,2:15,6BLTE,11.014,3.436,1.553,0.268,56.672,40.278,1.112,0.01,4,3,7
25165,13:15,3BLTE,11.6373,2.2286,0.8819,0.0477,56.0974,0.5746,1.2183,1.0826,5,3,8
29459,20:30,7ULTE,1.92,6.467,0.895,0.105,18.486,0.973,1.566,0.01,7,4,11
28638,10:15,5ALTE,18.694,9.903,3.389,0.146,42.828,1.465,1.586,1.374,7,5,12
23301,0:30,7ALTE,0.1019,0.7395,0.2051,0.0368,11.1778,1.0003,1.2288,0.0102,5,3,8
10662,20:30,1BLTE,20.513,3.537,0.721,0.109,11.286,0.632,1.475,1.182,7,5,12
15366,15:15,1ALTE,25.06,3.234,0.959,0.098,67.238,0.585,1.394,1.152,7,4,11
6761,19:45,6BLTE,26.475,5.053,1.464,0.127,25.578,4.628,1.384,0.01,6,4,10
15853,15:15,10CLTE,3.84,0.707,0.181,0.022,5.09,0.984,1.061,1.021,3,2,5
36331,6:45,8CLTE,0.8356,0.4164,0.0142,0.0126,0.1331,0.1054,1.0688,1.0267,3,2,5
14577,7:45,9BLTE,2.223,0.505,0.127,0.029,6.956,0.847,1.031,1.011,3,2,5
34663,14:00,8ALTE,19.3401,5.1143,1.3863,0.2521,37.3456,12.3064,1.3785,1.4155,7,6,13
1746,22:30,7BLTE,0.303,1.213,0.37,0.051,26.088,0.644,1.415,0.01,5,3,8
7982,7:00,4BLTE,8.286,1.314,0.266,0.029,16.868,0.568,1.122,1.021,4,3,7
3792,23:15,6VLTE,2.122,5.659,0.695,0.066,17.544,0.711,1.304,0.01,6,4,10
1439,8:30,8ALTE,20.513,2.223,0.845,0.168,28.91,2.167,1.283,1.162,5,5,10
29950,17:30,4ALTE,5.6374,1.1604,0.3782,0.0309,20.7361,0.4515,1.1317,1.0362,4,2,6
32675,4:00,6WLTE,0.303,0.909,0.071,0.025,1.178,0.737,1.031,0.01,3,2,5
32041,18:30,6ALTE,12.328,1.112,0.23,0.07,19.16,0.513,1.132,0.01,5,3,8
17584,3:00,1CLTE,11.722,0.909,0.182,0.02,13.918,0.357,1.061,1.021,4,2,6
5867,9:45,6VLTE,1.112,2.223,0.396,0.039,22.525,0.874,1.182,0.01,5,2,7
29033,11:00,7ALTE,0.404,3.537,0.939,0.047,18.626,0.711,1.273,0.01,6,2,8
10397,19:30,6ALTE,10.206,4.749,2.104,0.086,35.422,0.856,1.202,0.01,5,3,8
145,7:30,1BLTE,4.042,0.808,0.191,0.025,6.438,0.586,1.051,1.011,3,3,6
8159,0:00,6CLTE,5.861,0.606,0.072,0.014,4.148,0.515,1.041,0.01,3,2,5
9875,21:30,6ULTE,1.6044,1.916,0.2257,0.05,6.1826,1.6282,1.2409,0.0102,6,3,9
3778,23:30,10CLTE,5.861,0.909,0.245,0.025,10.274,0.71,1.081,1.021,3,2,5
1060,21:00,4BLTE,25.364,9.903,1.545,0.146,18.714,2.089,1.859,1.475,8,6,14
22262,17:00,8BLTE,16.067,4.143,1.747,0.093,39.181,1.06,1.314,1.091,6,4,10
30906,5:45,4ALTE,0.404,0.404,0.017,0.011,0.376,0.154,1.011,1.011,1,1,2
22497,5:45,4BLTE,9.701,0.404,0.011,0.003,0.83,0.141,1.223,1.011,3,2,5
17819,19:15,6BLTE,20.412,9.6,4.397,0.556,77.568,44.519,1.263,0.01,5,5,10
26012,0:00,8CLTE,6.5068,0.9184,0.2483,0.0409,12.5145,1.7421,1.1447,1.0151,5,3,8
18016,12:00,9ALTE,20.21,2.122,0.59,0.073,14.752,1.223,1.324,1.132,6,4,10
33559,13:00,6WLTE,1.0019,2.5594,0.3756,0.0325,18.8188,0.5693,1.1476,0.0104,5,3,8
34966,10:45,7WLTE,2.324,3.234,0.517,0.064,9.648,0.561,1.374,0.01,6,5,11
23721,11:15,3CLTE,7.781,0.909,0.151,0.031,7.554,0.533,1.122,1.041,4,3,7
21624,4:15,5CLTE,2.9587,0.4275,0.0071,0.0041,1.5799,0.1177,1.0544,1.0141,3,2,5
4784,6:00,5BLTE,5.517,0.5186,0.0091,0.0053,0.5617,0.1429,1.0209,1.0065,2,3,5
32555,17:30,7CLTE,0.202,0.505,0.068,0.017,4.768,0.283,1.081,0.01,3,2,5
9648,8:30,6CLTE,4.648,0.505,0.031,0.014,2.05,0.167,1.051,0.01,3,2,5
7599,23:30,2ALTE,0.1022,0.3976,0.0114,0.0115,0.0404,0.0174,1.0541,0.0105,2,1,3
21884,6:00,3ALTE,2.122,0.606,0.178,0.019,4.95,0.206,1.031,1.011,3,2,5
20465,16:15,4CLTE,20.513,3.234,0.791,0.116,22.727,1.738,1.283,1.243,6,5,11
1651,6:45,7ULTE,0.2118,0.8258,0.019,0.0081,0.4477,0.0997,1.0866,0.0107,4,2,6
16697,18:15,8BLTE,13.1171,2.0614,0.6658,0.0678,28.6337,1.2926,1.2946,1.1449,5,4,9
11845,11:30,6ULTE,3.234,11.318,2.574,0.132,34.763,8.671,1.536,0.01,7,4,11
2361,4:00,8CLTE,0.202,0.404,0.018,0.004,0.305,0.016,1.011,1.011,2,1,3
32569,10:15,9BLTE,1.718,0.505,0.037,0.013,0.717,0.136,1.031,1.011,3,2,5
16220,22:45,8BLTE,10.913,1.617,0.385,0.043,9.984,0.659,1.172,1.041,5,3,8
33970,15:00,10BLTE,5.9832,0.9502,0.3887,0.0322,20.6291,0.4884,1.0642,1.0792,3,3,6
32862,13:45,10BLTE,2.1958,0.5074,0.062,0.0169,3.7002,0.1446,1.0818,1.0196,2,2,4
26273,8:00,6BLTE,13.44,1.415,0.28,0.032,11.57,1.148,1.142,0.01,4,3,7
28064,13:45,5BLTE,32.235,6.77,2.115,0.155,37.486,1.211,1.738,1.405,8,7,15
13613,12:00,4CLTE,16.673,3.537,0.786,0.075,31.665,0.826,1.263,1.364,6,5,11
24263,9:30,6BLTE,16.37,2.425,0.591,0.044,60.511,0.955,1.192,0.01,5,5,10
30931,8:45,5BLTE,19.907,5.861,1.465,0.098,29.305,2.15,1.354,1.223,5,5,10
28095,11:00,10CLTE,4.547,0.909,0.159,0.022,12.217,0.33,1.061,1.021,3,2,5
27997,17:15,4ALTE,12.328,6.77,3.419,0.138,39.577,1.392,1.293,1.101,4,4,8
6892,8:15,6ALTE,2.4843,0.8511,0.4346,0.0295,12.2743,0.5393,1.0309,0.0105,4,2,6
25339,22:30,7BLTE,0.404,1.516,0.501,0.056,21.075,0.648,1.304,0.01,5,3,8
4526,19:30,1BLTE,20.866,5.8705,1.9517,0.1135,33.7995,1.7094,1.4306,1.1963,5,5,10
3680,1:45,4CLTE,9.6,1.415,0.479,0.036,17.052,0.97,1.142,1.061,4,3,7
11640,13:15,1CLTE,27.9034,4.7649,1.473,0.1864,40.8616,3.7067,1.7428,1.3528,7,6,13
21135,18:30,7BLTE,0.404,1.112,0.293,0.044,12.189,0.548,1.334,0.01,6,3,9
6236,14:15,5CLTE,22.635,2.93,0.545,0.119,13.918,0.982,1.496,1.182,6,5,11
6125,16:00,5ALTE,7.478,1.112,0.242,0.034,6.887,0.537,1.112,1.021,5,3,8
29684,2:00,4ALTE,2.324,0.707,0.245,0.018,12.384,0.257,1.031,1.021,3,2,5
15402,22:15,7BLTE,0.505,1.011,0.292,0.057,9.457,4.823,1.273,0.01,6,2,8
22306,2:30,2ALTE,0.0,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
9037,21:30,5BLTE,14.248,1.819,0.408,0.054,7.906,0.422,1.253,1.142,5,5,10
14248,14:45,7CLTE,0.707,3.032,1.401,0.089,45.727,1.784,1.314,0.01,6,3,9
7392,18:00,7ULTE,0.4092,1.2058,0.0928,0.0212,3.2522,0.1792,1.1225,0.0102,3,2,5
19528,7:45,8ALTE,14.248,1.92,1.206,0.084,26.656,0.65,1.293,1.091,5,5,10
5446,3:30,10CLTE,2.829,0.505,0.03,0.019,0.74,0.414,1.051,1.021,3,3,6
33237,5:00,3BLTE,4.042,0.707,0.082,0.024,0.838,0.181,1.051,1.011,4,2,6
5947,21:00,10BLTE,6.063,3.436,1.43,0.054,22.757,0.75,1.081,1.021,4,3,7
31661,14:30,7BLTE,0.808,2.627,0.815,0.1,16.831,1.502,1.516,0.01,7,3,10
26552,18:30,1BLTE,25.768,4.143,1.16,0.147,26.158,1.601,1.526,1.142,8,6,14
30142,3:00,3BLTE,1.617,0.404,0.029,0.011,1.7,0.343,1.031,1.011,3,2,5
6057,4:00,4BLTE,5.154,0.505,0.054,0.005,12.947,0.214,1.132,1.011,4,2,6
16027,23:15,7WLTE,0.707,2.526,0.52,0.034,12.247,0.834,1.071,0.01,4,2,6
2904,17:15,6ALTE,10.307,1.718,0.533,0.057,18.352,1.272,1.152,0.01,5,3,8
17639,11:30,9ALTE,23.039,12.328,5.237,0.164,53.325,3.317,1.445,1.223,6,5,11
34372,5:15,3BLTE,4.0677,3.6415,1.3535,0.0661,21.6838,1.2539,1.0467,1.0262,3,2,5
30874,15:00,4ALTE,5.4691,1.1569,0.3479,0.0307,8.935,0.3817,1.1306,1.0755,4,4,8
8879,18:30,3CLTE,7.377,1.314,0.486,0.05,20.21,0.993,1.132,1.031,4,3,7
25334,1:45,10CLTE,3.739,0.707,0.153,0.029,22.341,0.503,1.081,1.021,3,2,5
20510,12:00,6ALTE,13.642,1.314,0.384,0.051,31.161,0.957,1.162,0.01,5,4,9
1077,5:00,6CLTE,1.415,0.505,0.252,0.019,8.538,0.391,1.021,0.01,2,1,3
22657,21:15,8BLTE,12.732,2.223,0.767,0.061,43.86,0.824,1.223,1.091,6,4,10
33285,22:30,1BLTE,17.077,3.335,1.37,0.119,39.852,1.258,1.506,1.122,6,5,11
8223,11:15,3BLTE,24.05,3.537,0.768,0.105,12.34,1.262,1.475,1.324,6,5,11
4270,15:45,3ALTE,21.221,2.526,0.665,0.102,27.789,1.839,1.354,1.101,6,5,11
31478,11:45,9ALTE,9.4671,1.4652,0.5244,0.0491,52.1213,0.8553,1.1804,1.1049,5,4,9
12890,11:45,5CLTE,9.8461,1.5075,0.4502,0.0737,26.0186,0.7264,1.2808,1.0496,5,4,9
31646,18:30,6CLTE,7.983,0.808,0.219,0.035,14.257,0.49,1.112,0.01,4,2,6
23595,16:45,8ALTE,20.816,2.829,1.157,0.091,26.993,0.905,1.364,1.132,6,4,10
18961,7:15,10CLTE,1.213,0.404,0.053,0.012,2.465,0.245,1.011,1.011,2,1,3
30141,8:00,7WLTE,0.606,1.819,0.503,0.042,17.052,0.423,1.061,0.01,3,2,5
14050,21:45,4CLTE,22.332,4.749,1.449,0.197,29.549,1.736,1.799,1.263,8,6,14
32148,11:00,7VLTE,2.425,5.962,0.691,0.063,17.27,0.802,1.334,0.01,6,4,10
10789,18:45,10ALTE,7.276,0.808,0.257,0.032,10.591,0.868,1.122,1.031,4,3,7
23387,18:15,7BLTE,0.505,1.415,0.571,0.057,36.488,1.702,1.354,0.01,6,3,9
3592,10:15,6ALTE,11.318,1.516,0.458,0.055,33.183,5.843,1.182,0.01,5,3,8
11457,20:45,7VLTE,1.213,3.133,0.332,0.042,12.202,0.588,1.233,0.01,5,3,8
25212,6:30,3BLTE,2.425,0.505,0.036,0.015,1.845,0.175,1.021,1.011,3,2,5
19880,2:15,4BLTE,9.917,0.9209,0.1707,0.0212,18.4846,1.0669,1.1871,1.1648,5,4,9
18551,21:45,6ULTE,1.92,3.133,0.557,0.068,15.339,1.393,1.192,0.01,6,3,9
35664,16:15,7BLTE,1.011,2.728,0.676,0.157,14.185,13.184,1.576,0.01,7,3,10
4983,12:30,8ALTE,15.8862,3.5139,0.9405,0.0793,32.5082,2.4456,1.2216,1.088,6,5,11
24802,1:45,6VLTE,1.516,2.021,0.198,0.03,16.382,0.596,1.233,0.01,4,3,7
26913,13:00,7ULTE,3.84,8.084,1.083,0.103,20.755,0.816,1.637,0.01,7,4,11
15920,19:45,2ALTE,0.202,0.404,0.035,0.015,0.184,0.055,1.011,0.01,1,1,2
23260,9:15,7CLTE,0.303,0.909,0.249,0.032,13.991,0.508,1.112,0.01,4,2,6
30146,9:30,4ALTE,6.164,0.606,0.067,0.018,4.509,0.449,1.061,1.041,3,3,6
17507,15:15,7WLTE,0.7252,1.4745,0.2329,0.0414,4.9877,0.9526,1.139,0.0102,4,2,6
3348,0:45,10CLTE,5.6295,0.9949,0.2975,0.0352,9.337,0.8186,1.0836,1.0427,4,3,7
27529,10:15,6VLTE,2.829,2.829,0.409,0.067,18.444,1.883,1.314,0.01,6,4,10
14448,8:00,6CLTE,3.335,0.606,0.119,0.016,9.444,0.243,1.041,0.01,3,2,5
16957,10:00,6CLTE,7.276,1.011,0.194,0.031,8.832,0.723,1.112,0.01,4,2,6
7645,20:45,2ALTE,0.202,0.404,0.014,0.004,0.052,0.009,1.011,0.01,1,1,2
11826,0:00,2ALTE,0.0,0.404,0.0,0.001,0.0,0.001,1.011,0.01,1,1,2
28070,13:15,7BLTE,0.505,1.213,0.358,0.054,17.059,1.099,1.374,0.01,6,3,9
35729,3:30,9ALTE,0.505,0.404,0.032,0.021,0.713,0.22,1.011,1.011,2,1,3
4644,4:45,8ALTE,3.3323,0.8046,0.2962,0.0224,14.472,0.4645,1.0621,1.0043,3,3,6
2276,19:15,7ALTE,0.808,2.324,0.553,0.089,21.613,9.441,1.556,0.01,7,3,10
5388,12:30,1ALTE,31.224,5.76,1.653,0.201,28.498,2.12,2.132,1.213,9,5,14
16739,0:45,6BLTE,21.018,4.547,1.611,0.085,44.65,1.545,1.263,0.01,6,4,10
9404,0:45,7BLTE,0.101,0.707,0.24,0.033,11.204,0.474,1.101,0.01,4,2,6
21225,19:30,6VLTE,2.3389,4.5811,0.8358,0.0623,32.4656,0.6466,1.3365,0.0106,6,4,10
12039,3:30,4BLTE,14.248,1.011,0.245,0.028,6.695,0.489,1.132,1.021,4,2,6
33682,21:45,6ULTE,1.718,3.436,0.73,0.089,33.752,1.828,1.364,0.01,6,4,10
30468,16:00,3ALTE,22.231,2.425,0.87,0.101,35.389,1.496,1.415,1.091,6,4,10
17519,12:45,6CLTE,8.791,1.011,0.123,0.03,12.612,0.642,1.091,0.01,4,2,6
7565,19:30,10CLTE,7.983,1.213,0.39,0.033,37.144,0.895,1.101,1.031,4,3,7
5172,5:15,5ALTE,0.909,0.505,0.265,0.025,9.011,0.358,0.0,0.0,0,0,0
9012,8:00,7ULTE,1.314,2.627,0.386,0.049,13.434,0.748,1.162,0.01,4,3,7
10713,14:30,1BLTE,20.008,2.223,0.777,0.109,54.751,1.454,1.374,1.091,6,4,10
13372,16:15,6VLTE,1.92,4.143,0.693,0.056,21.583,2.174,1.192,0.01,5,3,8
20325,22:00,6ALTE,10.1327,3.0151,1.6547,0.1461,46.2653,8.2203,1.2475,0.0106,4,4,8
7642,9:00,1BLTE,7.781,1.617,0.234,0.036,10.741,0.701,1.162,1.041,5,3,8
24764,7:45,4ALTE,5.76,0.606,0.039,0.013,2.988,0.247,1.081,1.081,4,3,7
10028,8:45,4CLTE,7.276,1.112,0.151,0.023,10.759,0.293,1.101,1.091,4,4,8
6716,13:45,1BLTE,17.583,3.335,1.153,0.076,42.466,0.961,1.324,1.091,5,4,9
36150,4:15,1CLTE,14.147,0.505,0.023,0.017,1.64,0.184,1.061,1.021,4,3,7
32457,2:30,6ALTE,1.92,0.404,0.007,0.008,0.187,0.064,1.021,0.01,2,2,4
12418,10:15,6VLTE,1.314,1.819,0.184,0.025,10.279,0.588,1.132,0.01,5,3,8
33552,15:30,7ULTE,3.032,6.467,0.972,0.188,26.518,11.182,1.374,0.01,6,4,10
4149,12:15,3BLTE,8.4549,1.037,0.1898,0.0354,4.931,0.7919,1.1044,1.1092,4,5,9
13560,8:00,8BLTE,10.004,1.718,0.345,0.035,5.019,2.057,1.122,1.081,3,3,6
9246,6:30,8CLTE,0.505,0.505,0.361,0.034,6.28,0.312,1.011,1.011,2,2,4
760,11:30,3BLTE,24.151,6.063,1.372,0.121,23.102,1.274,1.485,1.425,6,5,11
